  47:  W.e 0x1fa7b  W.e 0x1fa90  W.e 0x1faa6  W.e 0x1fabc
 355:  R.v 0x01390  R.v 0x01410  R.v 0x01490  R.v 0x01510
 359:  Rbv 0x01391  Rbv 0x01411  Rbv 0x01491  Rbv 0x01511
 363:  Rbv 0x01392  Rbv 0x01412  Rbv 0x01492  Rbv 0x01512
 367:  Rbv 0x01393  Rbv 0x01413  Rbv 0x01493  Rbv 0x01513
 387:  R.v 0x01394  R.v 0x01414  R.v 0x01494  R.v 0x01514
 391:  Rbv 0x01395  Rbv 0x01415  Rbv 0x01495  Rbv 0x01515
 395:  Rbv 0x01396  Rbv 0x01416  Rbv 0x01496  Rbv 0x01516
 399:  Rbv 0x01397  Rbv 0x01417  Rbv 0x01497  Rbv 0x01517
 407:  W.e 0x1fa80  W.e 0x1fa96  W.e 0x1faac  W.e 0x1fac2
 413:  R.r 0x14f7f  R.r 0x1577f  R.r 0x15f7f  R.r 0x1677f
 419:  R.v 0x01398  R.v 0x01418  R.v 0x01498  R.v 0x01518
 423:  Rbv 0x01399  Rbv 0x01419  Rbv 0x01499  Rbv 0x01519
 427:  Rbv 0x0139a  Rbv 0x0141a  Rbv 0x0149a  Rbv 0x0151a
 431:  Rbv 0x0139b  Rbv 0x0141b  Rbv 0x0149b  Rbv 0x0151b
 451:  R.v 0x0139c  R.v 0x0141c  R.v 0x0149c  R.v 0x0151c
 455:  Rbv 0x0139d  Rbv 0x0141d  Rbv 0x0149d  Rbv 0x0151d
 459:  Rbv 0x0139e  Rbv 0x0141e  Rbv 0x0149e  Rbv 0x0151e
 463:  Rbv 0x0139f  Rbv 0x0141f  Rbv 0x0149f  Rbv 0x0151f
 471:  W.e 0x1fa81  W.e 0x1fa97  W.e 0x1faad  W.e 0x1fac3
 483:  R.v 0x013a0  R.v 0x01420  R.v 0x014a0  R.v 0x01520
 487:  Rbv 0x013a1  Rbv 0x01421  Rbv 0x014a1  Rbv 0x01521
 491:  Rbv 0x013a2  Rbv 0x01422  Rbv 0x014a2  Rbv 0x01522
 495:  Rbv 0x013a3  Rbv 0x01423  Rbv 0x014a3  Rbv 0x01523
 515:  R.v 0x013a4  R.v 0x01424  R.v 0x014a4  R.v 0x01524
 519:  Rbv 0x013a5  Rbv 0x01425  Rbv 0x014a5  Rbv 0x01525
 523:  Rbv 0x013a6  Rbv 0x01426  Rbv 0x014a6  Rbv 0x01526
 527:  Rbv 0x013a7  Rbv 0x01427  Rbv 0x014a7  Rbv 0x01527
 535:  W.e 0x1fa82  W.e 0x1fa98  W.e 0x1faae  W.e 0x1fac4
 541:  R.r 0x0507f  R.r 0x0587f  R.r 0x0607f  R.r 0x0687f
 547:  R.v 0x013a8  R.v 0x01428  R.v 0x014a8  R.v 0x01528
 551:  Rbv 0x013a9  Rbv 0x01429  Rbv 0x014a9  Rbv 0x01529
 555:  Rbv 0x013aa  Rbv 0x0142a  Rbv 0x014aa  Rbv 0x0152a
 559:  Rbv 0x013ab  Rbv 0x0142b  Rbv 0x014ab  Rbv 0x0152b
 579:  R.v 0x013ac  R.v 0x0142c  R.v 0x014ac  R.v 0x0152c
 583:  Rbv 0x013ad  Rbv 0x0142d  Rbv 0x014ad  Rbv 0x0152d
 587:  Rbv 0x013ae  Rbv 0x0142e  Rbv 0x014ae  Rbv 0x0152e
 591:  Rbv 0x013af  Rbv 0x0142f  Rbv 0x014af  Rbv 0x0152f
 599:  W.e 0x1fa83  W.e 0x1fa99  W.e 0x1faaf  W.e 0x1fac5
 611:  R.v 0x013b0  R.v 0x01430  R.v 0x014b0  R.v 0x01530
 615:  Rbv 0x013b1  Rbv 0x01431  Rbv 0x014b1  Rbv 0x01531
 619:  Rbv 0x013b2  Rbv 0x01432  Rbv 0x014b2  Rbv 0x01532
 623:  Rbv 0x013b3  Rbv 0x01433  Rbv 0x014b3  Rbv 0x01533
 643:  R.v 0x013b4  R.v 0x01434  R.v 0x014b4  R.v 0x01534
 647:  Rbv 0x013b5  Rbv 0x01435  Rbv 0x014b5  Rbv 0x01535
 651:  Rbv 0x013b6  Rbv 0x01436  Rbv 0x014b6  Rbv 0x01536
 655:  Rbv 0x013b7  Rbv 0x01437  Rbv 0x014b7  Rbv 0x01537
 663:  W.e 0x1fa84  W.e 0x1fa9a  W.e 0x1fab0  W.e 0x1fac6
 669:  R.r 0x1517f  R.r 0x1597f  R.r 0x1617f  R.r 0x1697f
 675:  R.v 0x013b8  R.v 0x01438  R.v 0x014b8  R.v 0x01538
 679:  Rbv 0x013b9  Rbv 0x01439  Rbv 0x014b9  Rbv 0x01539
 683:  Rbv 0x013ba  Rbv 0x0143a  Rbv 0x014ba  Rbv 0x0153a
 687:  Rbv 0x013bb  Rbv 0x0143b  Rbv 0x014bb  Rbv 0x0153b
 707:  R.v 0x013bc  R.v 0x0143c  R.v 0x014bc  R.v 0x0153c
 711:  Rbv 0x013bd  Rbv 0x0143d  Rbv 0x014bd  Rbv 0x0153d
 715:  Rbv 0x013be  Rbv 0x0143e  Rbv 0x014be  Rbv 0x0153e
 719:  Rbv 0x013bf  Rbv 0x0143f  Rbv 0x014bf  Rbv 0x0153f
 727:  W.e 0x1fa85  W.e 0x1fa9b  W.e 0x1fab1  W.e 0x1fac7
 739:  R.v 0x013c0  R.v 0x01440  R.v 0x014c0  R.v 0x01540
 743:  Rbv 0x013c1  Rbv 0x01441  Rbv 0x014c1  Rbv 0x01541
 747:  Rbv 0x013c2  Rbv 0x01442  Rbv 0x014c2  Rbv 0x01542
 751:  Rbv 0x013c3  Rbv 0x01443  Rbv 0x014c3  Rbv 0x01543
 771:  R.v 0x013c4  R.v 0x01444  R.v 0x014c4  R.v 0x01544
 775:  Rbv 0x013c5  Rbv 0x01445  Rbv 0x014c5  Rbv 0x01545
 779:  Rbv 0x013c6  Rbv 0x01446  Rbv 0x014c6  Rbv 0x01546
 783:  Rbv 0x013c7  Rbv 0x01447  Rbv 0x014c7  Rbv 0x01547
 791:  W.e 0x1fa86  W.e 0x1fa9c  W.e 0x1fab2  W.e 0x1fac8
 797:  R.r 0x0527f  R.r 0x05a7f  R.r 0x0627f  R.r 0x06aff
 803:  R.v 0x013c8  R.v 0x01448  R.v 0x014c8  R.v 0x01548
 807:  Rbv 0x013c9  Rbv 0x01449  Rbv 0x014c9  Rbv 0x01549
 811:  Rbv 0x013ca  Rbv 0x0144a  Rbv 0x014ca  Rbv 0x0154a
 815:  Rbv 0x013cb  Rbv 0x0144b  Rbv 0x014cb  Rbv 0x0154b
 835:  R.v 0x013cc  R.v 0x0144c  R.v 0x014cc  R.v 0x0154c
 839:  Rbv 0x013cd  Rbv 0x0144d  Rbv 0x014cd  Rbv 0x0154d
 843:  Rbv 0x013ce  Rbv 0x0144e  Rbv 0x014ce  Rbv 0x0154e
 847:  Rbv 0x013cf  Rbv 0x0144f  Rbv 0x014cf  Rbv 0x0154f
 855:  W.e 0x1fa87  W.e 0x1fa9d  W.e 0x1fab3  W.e 0x1fac9
 867:  R.v 0x013d0  R.v 0x01450  R.v 0x014d0  R.v 0x01550
 871:  Rbv 0x013d1  Rbv 0x01451  Rbv 0x014d1  Rbv 0x01551
 875:  Rbv 0x013d2  Rbv 0x01452  Rbv 0x014d2  Rbv 0x01552
 879:  Rbv 0x013d3  Rbv 0x01453  Rbv 0x014d3  Rbv 0x01553
 899:  R.v 0x013d4  R.v 0x01454  R.v 0x014d4  R.v 0x01554
 903:  Rbv 0x013d5  Rbv 0x01455  Rbv 0x014d5  Rbv 0x01555
 907:  Rbv 0x013d6  Rbv 0x01456  Rbv 0x014d6  Rbv 0x01556
 911:  Rbv 0x013d7  Rbv 0x01457  Rbv 0x014d7  Rbv 0x01557
 919:  W.e 0x1fa88  W.e 0x1fa9e  W.e 0x1fab4  W.e 0x1faca
 925:  R.r 0x1537f  R.r 0x15b7f  R.r 0x1637f  R.r 0x16b7f
 931:  R.v 0x013d8  R.v 0x01458  R.v 0x014d8  R.v 0x01558
 935:  Rbv 0x013d9  Rbv 0x01459  Rbv 0x014d9  Rbv 0x01559
 939:  Rbv 0x013da  Rbv 0x0145a  Rbv 0x014da  Rbv 0x0155a
 943:  Rbv 0x013db  Rbv 0x0145b  Rbv 0x014db  Rbv 0x0155b
 963:  R.v 0x013dc  R.v 0x0145c  R.v 0x014dc  R.v 0x0155c
 967:  Rbv 0x013dd  Rbv 0x0145d  Rbv 0x014dd  Rbv 0x0155d
 971:  Rbv 0x013de  Rbv 0x0145e  Rbv 0x014de  Rbv 0x0155e
 975:  Rbv 0x013df  Rbv 0x0145f  Rbv 0x014df  Rbv 0x0155f
 983:  W.e 0x1fa89  W.e 0x1fa9f  W.e 0x1fab5  W.e 0x1facb
 995:  R.v 0x013e0  R.v 0x01460  R.v 0x014e0  R.v 0x01560
 999:  Rbv 0x013e1  Rbv 0x01461  Rbv 0x014e1  Rbv 0x01561
1003:  Rbv 0x013e2  Rbv 0x01462  Rbv 0x014e2  Rbv 0x01562
1007:  Rbv 0x013e3  Rbv 0x01463  Rbv 0x014e3  Rbv 0x01563
1027:  R.v 0x013e4  R.v 0x01464  R.v 0x014e4  R.v 0x01564
1031:  Rbv 0x013e5  Rbv 0x01465  Rbv 0x014e5  Rbv 0x01565
1035:  Rbv 0x013e6  Rbv 0x01466  Rbv 0x014e6  Rbv 0x01566
1039:  Rbv 0x013e7  Rbv 0x01467  Rbv 0x014e7  Rbv 0x01567
1047:  W.e 0x1fa8a  W.e 0x1faa0  W.e 0x1fab6  W.e 0x1facc
1053:  R.r 0x0547f  R.r 0x05c7f  R.r 0x0647f  R.r 0x06c7f
1059:  R.v 0x013e8  R.v 0x01468  R.v 0x014e8  R.v 0x01568
1063:  Rbv 0x013e9  Rbv 0x01469  Rbv 0x014e9  Rbv 0x01569
1067:  Rbv 0x013ea  Rbv 0x0146a  Rbv 0x014ea  Rbv 0x0156a
1071:  Rbv 0x013eb  Rbv 0x0146b  Rbv 0x014eb  Rbv 0x0156b
1091:  R.v 0x013ec  R.v 0x0146c  R.v 0x014ec  R.v 0x0156c
1095:  Rbv 0x013ed  Rbv 0x0146d  Rbv 0x014ed  Rbv 0x0156d
1099:  Rbv 0x013ee  Rbv 0x0146e  Rbv 0x014ee  Rbv 0x0156e
1103:  Rbv 0x013ef  Rbv 0x0146f  Rbv 0x014ef  Rbv 0x0156f
1111:  W.e 0x1fa8b  W.e 0x1faa1  W.e 0x1fab7  W.e 0x1facd
1123:  R.v 0x013f0  R.v 0x01470  R.v 0x014f0  R.v 0x01570
1127:  Rbv 0x013f1  Rbv 0x01471  Rbv 0x014f1  Rbv 0x01571
1131:  Rbv 0x013f2  Rbv 0x01472  Rbv 0x014f2  Rbv 0x01572
1135:  Rbv 0x013f3  Rbv 0x01473  Rbv 0x014f3  Rbv 0x01573
1155:  R.v 0x013f4  R.v 0x01474  R.v 0x014f4  R.v 0x01574
1159:  Rbv 0x013f5  Rbv 0x01475  Rbv 0x014f5  Rbv 0x01575
1163:  Rbv 0x013f6  Rbv 0x01476  Rbv 0x014f6  Rbv 0x01576
1167:  Rbv 0x013f7  Rbv 0x01477  Rbv 0x014f7  Rbv 0x01577
1175:  W.e 0x1fa8c  W.e 0x1faa2  W.e 0x1fab8  W.e 0x1face
1181:  R.r 0x1557f  R.r 0x15d7f  R.r 0x1657f  R.r 0x16d7f
1187:  R.v 0x013f8  R.v 0x01478  R.v 0x014f8  R.v 0x01578
1191:  Rbv 0x013f9  Rbv 0x01479  Rbv 0x014f9  Rbv 0x01579
1195:  Rbv 0x013fa  Rbv 0x0147a  Rbv 0x014fa  Rbv 0x0157a
1199:  Rbv 0x013fb  Rbv 0x0147b  Rbv 0x014fb
1219:  R.v 0x013fc  R.v 0x0147c  R.v 0x014fc
1223:  Rbv 0x013fd  Rbv 0x0147d  Rbv 0x014fd
1227:  Rbv 0x013fe  Rbv 0x0147e  Rbv 0x014fe
1231:  Rbv 0x013ff  Rbv 0x0147f  Rbv 0x014ff
1243:  R.. 0x1ffff  R.. 0x1ffff  R.. 0x1ffff
1251:  R.. 0x01380  R.. 0x01400  R.. 0x01480
1259:  R.. 0x01382  R.. 0x01402  R.. 0x01482
1267:  W.e 0x1fa8d  W.e 0x1faa3  W.e 0x1fab9
1315:  W.e 0x1fa8e  W.e 0x1faa4  W.e 0x1faba
1367:  W.e 0x1fa8f  W.e 0x1faa5  W.e 0x1fabb
