 9375:  W.. 0x1d4ac
1202250:  W.. 0x1d4e0
1206000:  R.. 0x1273f
1224750:  W.. 0x1d4e1
1247250:  W.. 0x1d4e2
1266000:  R.. 0x0283f
1269750:  W.. 0x1d4e3
1292250:  W.. 0x1d4e4
1314750:  W.. 0x1d4e5
1326000:  R.. 0x1293f
1337125:  W.. 0x1d4e6
1359625:  W.. 0x1d4e7
1382125:  W.. 0x1d4e8
1385875:  R.. 0x02a3f
1404625:  W.. 0x1d4e9
1412125:  R.. 0x1ffff
1415875:  R.. 0x1ffff
1419625:  R.. 0x1ffff
1423375:  R.. 0x1ffff
1427125:  W.. 0x1d4ea
1449625:  W.. 0x1d4eb
1474000:  W.. 0x1d4ec
1496500:  W.. 0x1d4ed
1519125:  W.. 0x1d4ee
1551000:  W.. 0x1d4ef
1573500:  W.. 0x1d4f0
1596000:  W.. 0x1d4f1
1607375:  R.. 0x12b3f
1618625:  W.. 0x1d4f2
1641125:  W.. 0x1d4f3
1663625:  W.. 0x1d4f4
1667375:  R.. 0x02c3f
1686125:  W.. 0x1d4f5
1708625:  W.. 0x1d4f6
1727375:  R.. 0x12d3f
1731000:  W.. 0x1d4f7
1753500:  W.. 0x1d4f8
1776000:  W.. 0x1d4f9
1787250:  R.. 0x02e3f
1798500:  W.. 0x1d4fa
1821000:  W.. 0x1d4fb
1843500:  W.. 0x1d4fc
1847250:  R.. 0x12f3f
1866000:  W.. 0x1d4fd
1888500:  W.. 0x1d4fe
1907250:  R.. 0x0303f
1911000:  W.. 0x1d4ff
1959750:  W.. 0x1d500
1967375:  R.. 0x1313f
1982375:  W.. 0x1d501
2004875:  W.. 0x1d502
2027375:  R.. 0x0323f
2031125:  W.. 0x1d503
2053625:  R.. 0x1ffff
2057375:  R.. 0x1ffff
2061250:  R.. 0x1ffff
2065000:  R.. 0x1ffff
2068625:  W.. 0x1d504
2091250:  W.. 0x1d505
2115500:  W.. 0x1d506
2138000:  W.. 0x1d507
2160500:  W.. 0x1d508
2192375:  W.. 0x1d509
2214875:  W.. 0x1d50a
2237375:  W.. 0x1d50b
2248625:  R.. 0x1333f
2259875:  W.. 0x1d50c
2282250:  W.. 0x1d50d
2304750:  W.. 0x1d50e
2308625:  R.. 0x0343f
2327375:  W.. 0x1d50f
2349875:  W.. 0x1d510
2368625:  R.. 0x1353f
2372375:  W.. 0x1d511
2394875:  W.. 0x1d512
2417500:  W.. 0x1d513
2428750:  R.. 0x0363f
2440000:  W.. 0x1d514
2462500:  W.. 0x1d515
2485000:  W.. 0x1d516
2488750:  R.. 0x1373f
2507500:  W.. 0x1d517
2530000:  W.. 0x1d518
2548750:  R.. 0x0383f
2552500:  W.. 0x1d519
2575000:  W.. 0x1d51a
2597500:  W.. 0x1d51b
2608750:  R.. 0x1393f
2620000:  W.. 0x1d51c
2642500:  W.. 0x1d51d
2664875:  W.. 0x1d51e
2668625:  R.. 0x03a3f
2687375:  W.. 0x1d51f
2694875:  R.. 0x1ffff
2698625:  R.. 0x1ffff
2702375:  R.. 0x1ffff
2706125:  R.. 0x1ffff
2709875:  W.. 0x1d520
2732375:  W.. 0x1d521
2756750:  W.. 0x1d522
2779375:  W.. 0x1d523
2801875:  W.. 0x1d524
2833750:  W.. 0x1d525
2856250:  W.. 0x1d526
2878875:  W.. 0x1d527
2890125:  R.. 0x13b3f
2901375:  W.. 0x1d528
2923875:  W.. 0x1d529
2946375:  W.. 0x1d52a
2950125:  R.. 0x03c3f
2968875:  W.. 0x1d52b
2991375:  W.. 0x1d52c
3010125:  R.. 0x13d3f
3013875:  W.. 0x1d52d
3036375:  W.. 0x1d52e
3058875:  W.. 0x1d52f
3070000:  R.. 0x03e3f
3081250:  W.. 0x1d530
3103750:  W.. 0x1d531
3126250:  W.. 0x1d532
3130000:  R.. 0x13f3f
3148750:  W.. 0x1d533
3171250:  W.. 0x1d534
3190000:  R.. 0x0407f
3193750:  W.. 0x1d535
3216250:  W.. 0x1d536
3238875:  W.. 0x1d537
3250125:  R.. 0x1417f
3261375:  W.. 0x1d538
3283875:  W.. 0x1d539
3306375:  W.. 0x1d53a
3310250:  R.. 0x0427f
3329000:  W.. 0x1d53b
3336500:  R.. 0x1ffff
3340250:  R.. 0x1ffff
3344000:  R.. 0x1ffff
3347750:  R.. 0x1ffff
3351500:  W.. 0x1d53c
3374000:  W.. 0x1d53d
3398375:  W.. 0x1d53e
3420875:  W.. 0x1d53f
3443375:  W.. 0x1d540
3475125:  W.. 0x1d541
3497625:  W.. 0x1d542
3520125:  W.. 0x1d543
3531375:  R.. 0x1437f
3542625:  W.. 0x1d544
3565125:  W.. 0x1d545
3587625:  W.. 0x1d546
3591375:  R.. 0x0447f
3610125:  W.. 0x1d547
3632625:  W.. 0x1d548
3651375:  R.. 0x1457f
3655125:  W.. 0x1d549
3677625:  W.. 0x1d54a
3700250:  W.. 0x1d54b
3711500:  R.. 0x0467f
3722750:  W.. 0x1d54c
3745250:  W.. 0x1d54d
3767750:  W.. 0x1d54e
3771625:  R.. 0x1477f
3790375:  W.. 0x1d54f
3812875:  W.. 0x1d550
3831625:  R.. 0x0487f
3835375:  W.. 0x1d551
3857875:  W.. 0x1d552
3880250:  W.. 0x1d553
3891625:  R.. 0x1497f
3902750:  W.. 0x1d554
3925250:  W.. 0x1d555
3947750:  W.. 0x1d556
3951500:  R.. 0x04a7f
3970250:  W.. 0x1d557
3977750:  R.. 0x1ffff
3981500:  R.. 0x1ffff
3985250:  R.. 0x1ffff
3989000:  R.. 0x1ffff
3992750:  W.. 0x1d558
4015250:  W.. 0x1d559
4039625:  W.. 0x1d55a
4062125:  W.. 0x1d55b
4084625:  W.. 0x1d55c
