 2625:  W.. 0x1c812
1745000:  W.. 0x1c84b
1763750:  R.. 0x1884c
1775000:  W.. 0x1c84c
1795625:  R.. 0x1884d
1806875:  W.. 0x1c84d
1825625:  R.. 0x1884e
1837000:  W.. 0x1c84e
1852000:  R.. 0x1273f
1855750:  R.. 0x1884f
1867000:  W.. 0x1c84f
1885750:  R.. 0x18850
1897000:  W.. 0x1c850
1912000:  R.. 0x0283f
1915750:  R.. 0x18851
1927000:  W.. 0x1c851
1945750:  R.. 0x18852
1957000:  W.. 0x1c852
1972000:  R.. 0x1293f
1975750:  R.. 0x18853
1987000:  W.. 0x1c853
2005750:  R.. 0x18854
2017000:  W.. 0x1c854
2032000:  R.. 0x02a3f
2035750:  R.. 0x18855
2047000:  W.. 0x1c855
2065750:  R.. 0x18856
2077000:  W.. 0x1c856
2091875:  R.. 0x12b3f
2095625:  R.. 0x18857
2106875:  W.. 0x1c857
2125625:  R.. 0x18858
2136875:  W.. 0x1c858
2151875:  R.. 0x02c3f
2155625:  R.. 0x18859
2166875:  W.. 0x1c859
2185625:  R.. 0x1885a
2197000:  W.. 0x1c85a
2212000:  R.. 0x12d3f
2215750:  R.. 0x1885b
2227000:  W.. 0x1c85b
2245750:  R.. 0x1885c
2257000:  W.. 0x1c85c
2272000:  R.. 0x02e3f
2275750:  R.. 0x1885d
2287125:  W.. 0x1c85d
2298375:  R.. 0x1ffff
2302125:  R.. 0x1ffff
2305875:  R.. 0x1ffff
2309625:  R.. 0x1ffff
2313375:  R.. 0x1885e
2324625:  W.. 0x1c85e
2344750:  R.. 0x1885f
2356500:  W.. 0x1c85f
2375250:  R.. 0x18860
2386500:  W.. 0x1c860
2405250:  R.. 0x18861
2416500:  W.. 0x1c861
2437125:  R.. 0x18862
2448375:  W.. 0x1c862
2467125:  R.. 0x18863
2478375:  W.. 0x1c863
2493250:  R.. 0x12f3f
2497000:  R.. 0x18864
2508250:  W.. 0x1c864
2527000:  R.. 0x18865
2538250:  W.. 0x1c865
2553250:  R.. 0x0303f
2557000:  R.. 0x18866
2568250:  W.. 0x1c866
2587000:  R.. 0x18867
2598250:  W.. 0x1c867
2613250:  R.. 0x1313f
2617000:  R.. 0x18868
2628250:  W.. 0x1c868
2647125:  R.. 0x18869
2658375:  W.. 0x1c869
2673375:  R.. 0x0323f
2677125:  R.. 0x1886a
2688375:  W.. 0x1c86a
2707125:  R.. 0x1886b
2718375:  W.. 0x1c86b
2733500:  R.. 0x1333f
2737250:  R.. 0x1886c
2748500:  W.. 0x1c86c
2767250:  R.. 0x1886d
2778500:  W.. 0x1c86d
2793500:  R.. 0x0343f
2797250:  R.. 0x1886e
2808500:  W.. 0x1c86e
2827250:  R.. 0x1886f
2838500:  W.. 0x1c86f
2853500:  R.. 0x1353f
2857250:  R.. 0x18870
2868500:  W.. 0x1c870
2887250:  R.. 0x18871
2898375:  W.. 0x1c871
2913375:  R.. 0x0363f
2917125:  R.. 0x18872
2928375:  W.. 0x1c872
2939625:  R.. 0x1ffff
2943375:  R.. 0x1ffff
2947125:  R.. 0x1ffff
2950875:  R.. 0x1ffff
2954625:  R.. 0x18873
2965875:  W.. 0x1c873
2986000:  R.. 0x18874
2997750:  W.. 0x1c874
3016500:  R.. 0x18875
3027750:  W.. 0x1c875
3046500:  R.. 0x18876
3057750:  W.. 0x1c876
3078375:  R.. 0x18877
3089625:  W.. 0x1c877
3108500:  R.. 0x18878
3119750:  W.. 0x1c878
3134750:  R.. 0x1373f
3138500:  R.. 0x18879
3149750:  W.. 0x1c879
3168500:  R.. 0x1887a
3179750:  W.. 0x1c87a
3194875:  R.. 0x0383f
3198625:  R.. 0x1887b
3209875:  W.. 0x1c87b
3228625:  R.. 0x1887c
3239875:  W.. 0x1c87c
3254875:  R.. 0x1393f
3258625:  R.. 0x1887d
3269875:  W.. 0x1c87d
3288625:  R.. 0x1887e
3299750:  W.. 0x1c87e
3314750:  R.. 0x03a3f
3318500:  R.. 0x1887f
3329750:  W.. 0x1c87f
3374750:  R.. 0x13b3f
3378500:  R.. 0x18880
3389750:  W.. 0x1c880
3408500:  R.. 0x18881
3419750:  W.. 0x1c881
3434750:  R.. 0x03c3f
3438500:  R.. 0x18882
3449750:  W.. 0x1c882
3468500:  R.. 0x18883
3479750:  W.. 0x1c883
3494750:  R.. 0x13d3f
3498500:  R.. 0x18884
3509750:  W.. 0x1c884
3528500:  R.. 0x18885
3539750:  W.. 0x1c885
3554875:  R.. 0x03e3f
3558625:  R.. 0x18886
3569875:  W.. 0x1c886
3581125:  R.. 0x1ffff
3584875:  R.. 0x1ffff
3588625:  R.. 0x1ffff
3592375:  R.. 0x1ffff
3596125:  R.. 0x18887
3607375:  W.. 0x1c887
3627625:  R.. 0x18888
3639250:  W.. 0x1c888
3658000:  R.. 0x18889
3669250:  W.. 0x1c889
3688000:  R.. 0x1888a
3699250:  W.. 0x1c88a
3719875:  R.. 0x1888b
3731125:  W.. 0x1c88b
3749875:  R.. 0x1888c
3761125:  W.. 0x1c88c
3776125:  R.. 0x13f3f
3779875:  R.. 0x1888d
3791125:  W.. 0x1c88d
3809875:  R.. 0x1888e
3821125:  W.. 0x1c88e
3836125:  R.. 0x0407f
3839875:  R.. 0x1888f
3851000:  W.. 0x1c88f
3869750:  R.. 0x18890
3881000:  W.. 0x1c890
3896125:  R.. 0x1417f
3899875:  R.. 0x18891
3911125:  W.. 0x1c891
3929875:  R.. 0x18892
3941125:  W.. 0x1c892
3956125:  R.. 0x0427f
3959875:  R.. 0x18893
3971125:  W.. 0x1c893
3989875:  R.. 0x18894
4001250:  W.. 0x1c894
4016250:  R.. 0x1437f
4020000:  R.. 0x18895
4031250:  W.. 0x1c895
4050000:  R.. 0x18896
4061250:  W.. 0x1c896
4076250:  R.. 0x0447f
4080000:  R.. 0x18897
4091250:  W.. 0x1c897
