 6250:  R.. 0x1886b
3104500:  W.. 0x16aaf
3108250:  R.. 0x188b1
3119375:  R.. 0x1cbff
3123125:  W.. 0x1c8b1
3138125:  W.. 0x16ab0
3153125:  R.. 0x188b2
3164375:  W.. 0x1c8b2
3171875:  W.. 0x16ab1
3179375:  R.. 0x0ccff
3194375:  R.. 0x188b3
3205625:  W.. 0x16ab2
3209375:  W.. 0x1c8b3
3239375:  R.. 0x1cdff
3243125:  W.. 0x16ab3
3246875:  R.. 0x188b4
3258125:  W.. 0x1c8b4
3273125:  W.. 0x16ab4
3288125:  R.. 0x188b5
3299375:  R.. 0x0ceff
3303125:  W.. 0x1c8b5
3306875:  W.. 0x16ab5
3333125:  R.. 0x188b6
3336875:  W.. 0x16ab6
3344375:  W.. 0x1c8b6
3359375:  R.. 0x1cfff
3370625:  W.. 0x16ab7
3374500:  R.. 0x188b7
3385750:  W.. 0x1c8b7
3404500:  W.. 0x16ab8
3415750:  R.. 0x188b8
3419500:  R.. 0x0d0ff
3427000:  W.. 0x1c8b8
3438250:  W.. 0x16ab9
3445750:  R.. 0x1ffff
3449500:  R.. 0x1ffff
3453250:  R.. 0x1ffff
3457000:  R.. 0x1ffff
3460750:  R.. 0x188b9
3472000:  W.. 0x16aba
3475750:  W.. 0x1c8b9
3507625:  W.. 0x16abb
3511375:  R.. 0x188ba
3522625:  W.. 0x1c8ba
3541375:  W.. 0x16abc
3552625:  R.. 0x188bb
3563875:  W.. 0x1c8bb
3584500:  W.. 0x16abd
3592000:  R.. 0x188bc
3603250:  W.. 0x1c8bc
3607000:  W.. 0x16abe
3633250:  R.. 0x188bd
3640750:  R.. 0x1d1ff
3644500:  W.. 0x16abf
3648250:  W.. 0x1c8bd
3674375:  W.. 0x16ac0
3678250:  R.. 0x188be
3689375:  W.. 0x1c8be
3700625:  R.. 0x0d2ff
3708125:  W.. 0x16ac1
3719500:  R.. 0x188bf
3730750:  W.. 0x1c8bf
3742000:  W.. 0x16ac2
3760750:  R.. 0x1d3ff
3764500:  R.. 0x188c0
3775750:  W.. 0x16ac3
3779500:  W.. 0x1c8c0
3809500:  W.. 0x16ac4
3813250:  R.. 0x188c1
3820750:  R.. 0x0d4ff
3824500:  W.. 0x1c8c1
3843375:  W.. 0x16ac5
3854625:  R.. 0x188c2
3865875:  W.. 0x1c8c2
3877125:  W.. 0x16ac6
3880875:  R.. 0x1d5ff
3895875:  R.. 0x188c3
3907125:  W.. 0x16ac7
3910875:  W.. 0x1c8c3
3940875:  R.. 0x0d6ff
3944625:  R.. 0x188c4
3955875:  W.. 0x1c8c4
3985875:  R.. 0x188c5
3997125:  W.. 0x1c8c5
4000875:  R.. 0x1d7ff
4027125:  W.. 0x16ac8
4030875:  R.. 0x188c6
4042125:  W.. 0x1c8c6
4060875:  R.. 0x0d8ff
4064625:  W.. 0x16ac9
4072125:  R.. 0x188c7
4083250:  W.. 0x1c8c7
4087000:  R.. 0x1ffff
4090750:  R.. 0x1ffff
4094500:  R.. 0x1ffff
