 9875:  R.. 0x183bf
1825250:  R.. 0x14bfd
1840250:  W.. 0x1f632
1862750:  W.. 0x1f633
1874000:  R.. 0x09abf
1885250:  W.. 0x1f634
1907875:  W.. 0x1f635
1926625:  R.. 0x14bfe
1930375:  W.. 0x1f636
1934125:  R.. 0x19bbf
1952875:  W.. 0x1f637
1975375:  W.. 0x1f638
1994125:  R.. 0x09cbf
1997875:  W.. 0x1f639
2020375:  W.. 0x1f63a
2031625:  R.. 0x14bff
2042875:  W.. 0x1f63b
2054125:  R.. 0x19dbf
2065375:  W.. 0x1f63c
2087875:  W.. 0x1f63d
2110375:  W.. 0x1f63e
2114125:  R.. 0x09ebf
2132875:  R.. 0x14c00
2136625:  W.. 0x1f63f
2159000:  W.. 0x1f640
2174000:  R.. 0x19fbf
2181500:  W.. 0x1f641
2204000:  W.. 0x1f642
2226500:  W.. 0x1f643
2234000:  R.. 0x0a0bf
2237875:  R.. 0x14c01
2249125:  W.. 0x1f644
2271625:  W.. 0x1f645
2294125:  R.. 0x1a1bf
2297875:  W.. 0x1f646
2320375:  R.. 0x1ffff
2324125:  R.. 0x1ffff
2327875:  R.. 0x1ffff
2331625:  R.. 0x1ffff
2335375:  W.. 0x1f647
2339125:  R.. 0x14c02
2358000:  W.. 0x1f648
2382375:  W.. 0x1f649
2404875:  W.. 0x1f64a
2427375:  W.. 0x1f64b
2459250:  R.. 0x14c03
2463000:  W.. 0x1f64c
2485500:  W.. 0x1f64d
2508000:  W.. 0x1f64e
2515500:  R.. 0x0a2bf
2530500:  W.. 0x1f64f
2549250:  R.. 0x14c04
2553000:  W.. 0x1f650
2575500:  R.. 0x1a3bf
2579125:  W.. 0x1f651
2601625:  W.. 0x1f652
2624125:  W.. 0x1f653
2635375:  R.. 0x0a4bf
2646625:  W.. 0x1f654
2650375:  R.. 0x14c05
2669125:  W.. 0x1f655
2691625:  W.. 0x1f656
2695375:  R.. 0x1a5bf
2714250:  W.. 0x1f657
2736750:  W.. 0x1f658
2755500:  R.. 0x0a6bf
2759250:  R.. 0x14c06
2763000:  W.. 0x1f659
2785500:  W.. 0x1f65a
2808125:  W.. 0x1f65b
2815625:  R.. 0x1a7bf
2830625:  W.. 0x1f65c
2853125:  W.. 0x1f65d
2856875:  R.. 0x14c07
2875625:  R.. 0x0a8bf
2879375:  W.. 0x1f65e
2901875:  W.. 0x1f65f
2924375:  W.. 0x1f660
2935625:  R.. 0x1a9bf
2946875:  W.. 0x1f661
2961875:  R.. 0x1ffff
2965625:  R.. 0x1ffff
2969375:  R.. 0x1ffff
2973125:  R.. 0x1ffff
2976875:  R.. 0x14c08
2980500:  W.. 0x1f662
3003500:  W.. 0x1f663
3027375:  W.. 0x1f664
3049875:  W.. 0x1f665
3072375:  W.. 0x1f666
3100500:  W.. 0x1f667
3123000:  W.. 0x1f668
3145500:  W.. 0x1f669
3149250:  R.. 0x14c09
3156750:  R.. 0x0aabf
3168125:  W.. 0x1f66a
3190625:  W.. 0x1f66b
3213125:  W.. 0x1f66c
3216875:  R.. 0x1abbf
3235625:  W.. 0x1f66d
3250625:  R.. 0x14c0a
3258250:  W.. 0x1f66e
3277000:  R.. 0x0acbf
3280750:  W.. 0x1f66f
3303250:  W.. 0x1f670
3325750:  W.. 0x1f671
3337000:  R.. 0x1adbf
3348250:  W.. 0x1f672
3355750:  R.. 0x14c0b
3370750:  W.. 0x1f673
3393125:  W.. 0x1f674
3396875:  R.. 0x0aebf
3415625:  W.. 0x1f675
3438125:  W.. 0x1f676
3456875:  R.. 0x1afbf
3460625:  R.. 0x14c0c
3464375:  W.. 0x1f677
3486875:  W.. 0x1f678
3509375:  W.. 0x1f679
3516875:  R.. 0x0b0bf
3531875:  W.. 0x1f67a
3554375:  W.. 0x1f67b
3561875:  R.. 0x14c0d
3576875:  R.. 0x1b1bf
3580625:  W.. 0x1f67c
3603125:  R.. 0x1ffff
3606875:  R.. 0x1ffff
3610625:  R.. 0x1ffff
3614375:  R.. 0x1ffff
3618250:  W.. 0x1f67d
3640750:  W.. 0x1f67e
3665125:  R.. 0x14c0e
3668875:  W.. 0x1f67f
3717750:  W.. 0x1f680
3742125:  W.. 0x1f681
3764625:  W.. 0x1f682
3768375:  R.. 0x14c0f
3787000:  W.. 0x1f683
3798250:  R.. 0x0b2bf
3809500:  W.. 0x1f684
3832000:  W.. 0x1f685
3854500:  W.. 0x1f686
3858250:  R.. 0x1b3bf
3873250:  R.. 0x14c10
3877000:  W.. 0x1f687
3899500:  W.. 0x1f688
3918250:  R.. 0x0b4bf
3921875:  W.. 0x1f689
3944375:  W.. 0x1f68a
3967000:  W.. 0x1f68b
3974500:  R.. 0x14c11
3978250:  R.. 0x1b5bf
3989500:  W.. 0x1f68c
4012000:  W.. 0x1f68d
4034500:  W.. 0x1f68e
4038250:  R.. 0x0b6bf
4057000:  W.. 0x1f68f
4079625:  R.. 0x14c12
4083375:  W.. 0x1f690
