10125:  W.. 0x17d4a
3432750:  W.. 0x17dab
3447750:  R.. 0x188a3
3459125:  R.. 0x19dbf
3462750:  R.. 0x1c8a3
3466500:  W.. 0x17dac
3474000:  W.. 0x1c8a3
3500375:  W.. 0x17dad
3504125:  R.. 0x188a4
3519125:  R.. 0x09ebf
3522875:  R.. 0x1c8a4
3530375:  W.. 0x17dae
3534125:  W.. 0x1c8a4
3564125:  W.. 0x17daf
3567875:  R.. 0x188a4
3579125:  R.. 0x19fbf
3582875:  R.. 0x1c8a4
3594250:  W.. 0x1c8a4
3624250:  R.. 0x188a5
3639250:  R.. 0x0a0bf
3643000:  R.. 0x1c8a5
3654250:  W.. 0x1c8a5
3684250:  W.. 0x17db0
3688000:  R.. 0x188a5
3699250:  R.. 0x1a1bf
3703000:  R.. 0x1c8a5
3714250:  W.. 0x1c8a5
3718000:  W.. 0x17db1
3744250:  R.. 0x188a6
3751750:  W.. 0x17db2
3759250:  R.. 0x0a2bf
3763000:  R.. 0x1c8a6
3774250:  W.. 0x1c8a6
3785500:  R.. 0x1ffff
3789250:  R.. 0x1ffff
3793000:  R.. 0x1ffff
3796750:  R.. 0x1ffff
3800500:  W.. 0x17db3
3804250:  R.. 0x188a6
3815375:  W.. 0x17db4
3819250:  R.. 0x1c8a6
3831875:  W.. 0x1c8a6
3851000:  W.. 0x17db5
3862250:  R.. 0x188a7
3877250:  R.. 0x1c8a7
3884750:  W.. 0x17db6
3888500:  W.. 0x1c8a7
3924125:  W.. 0x17db7
3927875:  R.. 0x188a7
3943000:  R.. 0x1c8a7
3950500:  W.. 0x17db8
3954250:  W.. 0x1c8a7
3980500:  R.. 0x1a3bf
3984250:  W.. 0x17db9
3988000:  R.. 0x188a8
4003000:  R.. 0x1c8a8
4014250:  W.. 0x1c8a8
4018000:  W.. 0x17dba
4040625:  R.. 0x0a4bf
4044375:  R.. 0x188a8
4051875:  W.. 0x17dbb
4059375:  R.. 0x1c8a8
4070625:  W.. 0x1c8a8
4085625:  W.. 0x17dbc
