14000:  R.. 0x0c0ff
3562250:  R.. 0x1ebff
3592250:  R.. 0x00a80
3607375:  R.. 0x04a80
3618625:  W.. 0x04a80
3622375:  R.. 0x0ecff
3648625:  R.. 0x00a80
3663625:  R.. 0x04a80
3674875:  W.. 0x04a80
3682500:  R.. 0x1edff
3705000:  R.. 0x00a81
3720000:  R.. 0x04a81
3731250:  W.. 0x04a81
3742500:  R.. 0x0eeff
3761250:  R.. 0x00a81
3776250:  R.. 0x04a81
3787500:  W.. 0x04a81
3802500:  R.. 0x1efff
3847500:  R.. 0x00b00
3862375:  R.. 0x0f0ff
3866125:  R.. 0x04b00
3877375:  W.. 0x04b00
3907375:  R.. 0x00b00
3922375:  R.. 0x1f1ff
3926125:  R.. 0x04b00
3937375:  W.. 0x04b00
3967375:  R.. 0x00b01
3982375:  R.. 0x0f2ff
3986125:  R.. 0x04b01
3997375:  W.. 0x04b01
4008625:  R.. 0x1ffff
4012375:  R.. 0x1ffff
4016125:  R.. 0x1ffff
4019875:  R.. 0x1ffff
4027375:  R.. 0x00b01
4042375:  R.. 0x04b01
4055125:  W.. 0x04b01
