  750:  R.. 0x0e600
257250:  Rbv 0x05fa3
261000:  R.. 0x1ffff
266625:  R.v 0x05fa4
268500:  Rbv 0x05fa5
270375:  Rbv 0x05fa6
272250:  Rbv 0x05fa7
276000:  R.. 0x1ffff
278875:  R.. 0x0b0bf
281625:  R.v 0x05fa8
283500:  Rbv 0x05fa9
285375:  Rbv 0x05faa
287250:  Rbv 0x05fab
291000:  R.. 0x1ffff
296625:  R.v 0x05fac
298500:  Rbv 0x05fad
300375:  Rbv 0x05fae
302250:  Rbv 0x05faf
306000:  R.. 0x1ffff
311625:  R.v 0x05fb0
313500:  Rbv 0x05fb1
315375:  Rbv 0x05fb2
317250:  Rbv 0x05fb3
321000:  R.. 0x1ffff
326625:  R.v 0x05fb4
328500:  Rbv 0x05fb5
330375:  Rbv 0x05fb6
332250:  Rbv 0x05fb7
336000:  R.. 0x1ffff
338750:  R.. 0x1b1bf
341625:  R.v 0x05fb8
343500:  Rbv 0x05fb9
345375:  Rbv 0x05fba
347250:  Rbv 0x05fbb
351000:  R.. 0x1ffff
356625:  R.v 0x05fbc
358500:  Rbv 0x05fbd
360375:  Rbv 0x05fbe
362250:  Rbv 0x05fbf
366000:  R.. 0x1ffff
371625:  R.v 0x05fc0
373500:  Rbv 0x05fc1
375375:  Rbv 0x05fc2
377250:  Rbv 0x05fc3
381000:  R.. 0x1ffff
386625:  R.v 0x05fc4
388500:  Rbv 0x05fc5
390375:  Rbv 0x05fc6
392250:  Rbv 0x05fc7
396000:  R.. 0x1ffff
398875:  R.. 0x0b2bf
401625:  R.v 0x05fc8
403500:  Rbv 0x05fc9
405375:  Rbv 0x05fca
407250:  Rbv 0x05fcb
411000:  R.. 0x1ffff
416625:  R.v 0x05fcc
418500:  Rbv 0x05fcd
420375:  Rbv 0x05fce
422250:  Rbv 0x05fcf
426000:  R.. 0x1ffff
431625:  R.v 0x05fd0
433500:  Rbv 0x05fd1
435375:  Rbv 0x05fd2
437250:  Rbv 0x05fd3
441125:  R.. 0x1ffff
446625:  R.v 0x05fd4
448625:  Rbv 0x05fd5
450500:  Rbv 0x05fd6
452375:  Rbv 0x05fd7
456125:  R.. 0x1ffff
458875:  R.. 0x1b3bf
461750:  R.v 0x05fd8
463625:  Rbv 0x05fd9
465500:  Rbv 0x05fda
467375:  Rbv 0x05fdb
471125:  R.. 0x1ffff
476750:  R.v 0x05fdc
478625:  Rbv 0x05fdd
480500:  Rbv 0x05fde
482375:  Rbv 0x05fdf
486125:  R.. 0x1ffff
491750:  R.v 0x05fe0
493625:  Rbv 0x05fe1
495500:  Rbv 0x05fe2
497375:  Rbv 0x05fe3
501125:  R.. 0x1ffff
506750:  R.v 0x05fe4
508625:  Rbv 0x05fe5
510500:  Rbv 0x05fe6
512375:  Rbv 0x05fe7
516250:  R.. 0x1ffff
519000:  R.. 0x0b4bf
521750:  R.v 0x05fe8
523625:  Rbv 0x05fe9
525500:  Rbv 0x05fea
527375:  Rbv 0x05feb
531250:  R.. 0x1ffff
536750:  R.v 0x05fec
538625:  Rbv 0x05fed
540625:  Rbv 0x05fee
542500:  Rbv 0x05fef
546250:  R.. 0x1ffff
551875:  R.v 0x05ff0
553750:  Rbv 0x05ff1
555625:  Rbv 0x05ff2
557500:  Rbv 0x05ff3
561250:  R.. 0x1ffff
566875:  R.v 0x05ff4
568750:  Rbv 0x05ff5
570625:  Rbv 0x05ff6
572500:  Rbv 0x05ff7
576250:  R.. 0x1ffff
579000:  R.. 0x1b5bf
581875:  R.v 0x05ff8
583750:  Rbv 0x05ff9
585625:  Rbv 0x05ffa
587500:  Rbv 0x05ffb
591250:  R.. 0x1ffff
596875:  R.v 0x05ffc
598750:  Rbv 0x05ffd
600625:  Rbv 0x05ffe
602500:  Rbv 0x05fff
606250:  R.. 0x1ffff
608125:  Rb. 0x1ffff
610000:  Rb. 0x1ffff
612250:  R.. 0x05f80
614125:  Rb. 0x05f81
616000:  Rb. 0x05f82
621250:  R.. 0x1ffff
623125:  Rb. 0x1ffff
625875:  R.. 0x1ffff
628750:  R.. 0x1ffff
630625:  Rb. 0x1ffff
633375:  R.. 0x1ffff
636125:  R.. 0x1ffff
638000:  Rb. 0x1ffff
639875:  Rb. 0x1ffff
642250:  R.. 0x1ffff
644125:  Rb. 0x1ffff
646000:  Rb. 0x1ffff
653000:  R.. 0x1ffff
654875:  Rb. 0x1ffff
657750:  R.. 0x1ffff
660500:  R.. 0x1ffff
662375:  Rb. 0x1ffff
665250:  R.. 0x1ffff
668000:  R.. 0x1ffff
669875:  Rb. 0x1ffff
671750:  Rb. 0x1ffff
674125:  R.. 0x1ffff
676000:  Rb. 0x1ffff
677875:  Rb. 0x1ffff
683000:  R.. 0x1ffff
684875:  Rb. 0x1ffff
687750:  R.. 0x1ffff
690500:  R.. 0x1ffff
692375:  Rb. 0x1ffff
695125:  R.. 0x1ffff
698000:  R.. 0x1ffff
699875:  Rb. 0x1ffff
701750:  Rb. 0x1ffff
704125:  R.. 0x1ffff
706000:  Rb. 0x1ffff
707875:  Rb. 0x1ffff
713000:  R.. 0x1ffff
714875:  Rb. 0x1ffff
717625:  R.. 0x1ffff
720500:  R.. 0x1ffff
722375:  Rb. 0x1ffff
725125:  R.. 0x1ffff
799250:  R.. 0x0b6bf
859250:  R.. 0x1b7bf
919375:  R.. 0x0b8bf
979375:  R.. 0x1b9bf
1039375:  R.. 0x0babf
1099375:  R.. 0x1bbbf
1159250:  R.. 0x0bcbf
1219250:  R.. 0x1bdbf
1245625:  R.. 0x1ffff
1249375:  R.. 0x1ffff
1253125:  R.. 0x1ffff
1256875:  R.. 0x1ffff
1440750:  R.. 0x0bebf
1500750:  R.. 0x1bfbf
1560625:  R.. 0x0c0ff
1620625:  R.. 0x1c1ff
1680625:  R.. 0x0c2ff
1740750:  R.. 0x1c3ff
1800875:  R.. 0x0c4ff
1860875:  R.. 0x1c5ff
1887125:  R.. 0x1ffff
1890875:  R.. 0x1ffff
1894625:  R.. 0x1ffff
1898375:  R.. 0x1ffff
2082000:  R.. 0x0c6ff
2142125:  R.. 0x1c7ff
2202125:  R.. 0x0c8ff
2262250:  R.. 0x1c9ff
2322250:  R.. 0x0caff
2382250:  R.. 0x1cbff
2442125:  R.. 0x0ccff
2502125:  R.. 0x1cdff
2528375:  R.. 0x1ffff
2532125:  R.. 0x1ffff
2535875:  R.. 0x1ffff
2539625:  R.. 0x1ffff
2543375:  R.. 0x14000
2723625:  R.. 0x0ceff
2783625:  R.. 0x1cfff
2843500:  R.. 0x0d0ff
2903500:  R.. 0x1d1ff
2963500:  R.. 0x0d2ff
3023500:  R.. 0x1d3ff
3083625:  R.. 0x0d4ff
3143625:  R.. 0x1d5ff
3169875:  R.. 0x1ffff
3173625:  R.. 0x1ffff
3177375:  R.. 0x1ffff
3181125:  R.. 0x1ffff
3364750:  R.. 0x0d6ff
3424875:  R.. 0x1d7ff
3484875:  R.. 0x0d8ff
3545000:  R.. 0x1d9ff
3605000:  R.. 0x0daff
3665000:  R.. 0x1dbff
3724875:  R.. 0x0dcff
3784875:  R.. 0x1ddff
3811125:  R.. 0x1ffff
3814875:  R.. 0x1ffff
3818625:  R.. 0x1ffff
3822375:  R.. 0x1ffff
4006375:  R.. 0x0deff
4066375:  R.. 0x1dfff
