 4875:  R.. 0x1cdff
1462125:  W.. 0x19ab0
1512625:  W.. 0x19ab1
1531375:  W.. 0x19ab2
1565125:  W.. 0x19ab3
1568875:  R.. 0x1dfff
1595125:  W.. 0x19ab4
1628875:  R.. 0x0e0ff
1632625:  W.. 0x19ab5
1662625:  W.. 0x19ab6
1689000:  R.. 0x1e1ff
1696500:  W.. 0x19ab7
1730250:  W.. 0x19ab8
1749000:  R.. 0x0e2ff
1764125:  W.. 0x19ab9
1797875:  W.. 0x19aba
1809125:  R.. 0x1e3ff
1831625:  W.. 0x19abb
1865375:  W.. 0x19abc
1869125:  R.. 0x0e4ff
1899125:  W.. 0x19abd
1929000:  R.. 0x1e5ff
1932750:  W.. 0x19abe
1966500:  W.. 0x19abf
1989000:  R.. 0x0e6ff
2015250:  R.. 0x1ffff
2019000:  R.. 0x1ffff
2022750:  R.. 0x1ffff
2026500:  R.. 0x1ffff
2084625:  W.. 0x19ac0
2118500:  W.. 0x19ac1
2154125:  W.. 0x19ac2
2184125:  W.. 0x19ac3
2210500:  R.. 0x1e7ff
2218000:  W.. 0x19ac4
2251750:  W.. 0x19ac5
2270500:  R.. 0x0e8ff
2285500:  W.. 0x19ac6
2319125:  W.. 0x19ac7
2330375:  R.. 0x1e9ff
2352875:  W.. 0x19ac8
2386625:  W.. 0x19ac9
2390375:  R.. 0x0eaff
2420375:  W.. 0x19aca
2450375:  R.. 0x1ebff
2454125:  W.. 0x19acb
2484125:  W.. 0x19acc
2510375:  R.. 0x0ecff
2517875:  W.. 0x19acd
2551625:  W.. 0x19ace
2570500:  R.. 0x1edff
2585500:  W.. 0x19acf
2619250:  W.. 0x19ad0
2630500:  R.. 0x0eeff
2653000:  W.. 0x19ad1
2656875:  R.. 0x1ffff
2660625:  R.. 0x1ffff
2664375:  R.. 0x1ffff
2668125:  R.. 0x1ffff
2686875:  W.. 0x19ad2
2722375:  W.. 0x19ad3
2752375:  W.. 0x19ad4
2795500:  W.. 0x19ad5
2821750:  W.. 0x19ad6
2851625:  R.. 0x1efff
2855375:  W.. 0x19ad7
2889125:  W.. 0x19ad8
2911625:  R.. 0x0f0ff
2923000:  W.. 0x19ad9
2956750:  W.. 0x19ada
2971750:  R.. 0x1f1ff
2990500:  W.. 0x19adb
3020625:  W.. 0x19adc
3031875:  R.. 0x0f2ff
3054375:  W.. 0x19add
3088125:  W.. 0x19ade
3091875:  R.. 0x1f3ff
3121875:  W.. 0x19adf
3151875:  R.. 0x0f4ff
3155625:  W.. 0x19ae0
3189375:  W.. 0x19ae1
3211875:  R.. 0x1f5ff
3223125:  W.. 0x19ae2
3256750:  W.. 0x19ae3
3271750:  R.. 0x0f6ff
3290500:  W.. 0x19ae4
3298000:  R.. 0x1ffff
3301750:  R.. 0x1ffff
3305500:  R.. 0x1ffff
3309250:  R.. 0x1ffff
3324250:  W.. 0x19ae5
3359875:  W.. 0x19ae6
3390000:  W.. 0x19ae7
3493250:  R.. 0x1f7ff
3508250:  W.. 0x19ae8
3542000:  W.. 0x19ae9
3553250:  R.. 0x0f8ff
3575750:  W.. 0x19aea
3609500:  W.. 0x19aeb
3613250:  R.. 0x1f9ff
3643250:  W.. 0x19aec
3673125:  R.. 0x0faff
3676875:  W.. 0x19aed
3710625:  W.. 0x19aee
3733125:  R.. 0x1fbff
3744375:  W.. 0x19aef
3778125:  W.. 0x19af0
3793125:  R.. 0x0fcff
3811875:  W.. 0x19af1
3845750:  W.. 0x19af2
3853250:  R.. 0x1fdff
3879500:  W.. 0x19af3
3909500:  W.. 0x19af4
3913250:  R.. 0x0feff
3939625:  R.. 0x1ffff
3943375:  R.. 0x1ffff
3947125:  R.. 0x1ffff
3950875:  R.. 0x1ffff
3954625:  W.. 0x19af5
3977125:  W.. 0x19af6
4012750:  W.. 0x19af7
4046500:  W.. 0x19af8
4078250:  W.. 0x19af9
